timestamp,service,consistency,latency_ms,success,error_message
2025-07-31T22:20:36.095248,avaliacoes,eventual,7.229804992675781,True,
2025-07-31T22:20:36.152676,avaliacoes,eventual,7.058620452880859,True,
2025-07-31T22:20:36.210409,avaliacoes,eventual,7.3070526123046875,True,
2025-07-31T22:20:36.266499,avaliacoes,eventual,5.753040313720703,True,
2025-07-31T22:20:36.320910,avaliacoes,eventual,4.076719284057617,True,
2025-07-31T22:20:36.378811,avaliacoes,eventual,7.478952407836914,True,
2025-07-31T22:20:36.438360,avaliacoes,eventual,9.063005447387695,True,
2025-07-31T22:20:36.497760,avaliacoes,eventual,8.838176727294922,True,
2025-07-31T22:20:36.554817,avaliacoes,eventual,6.606101989746094,True,
2025-07-31T22:20:36.611957,avaliacoes,eventual,6.792783737182617,True,
2025-07-31T22:20:36.668955,avaliacoes,eventual,6.6680908203125,True,
2025-07-31T22:20:36.728491,avaliacoes,eventual,9.15384292602539,True,
2025-07-31T22:20:36.783642,avaliacoes,eventual,4.846096038818359,True,
2025-07-31T22:20:36.839502,avaliacoes,eventual,5.429506301879883,True,
2025-07-31T22:20:36.894817,avaliacoes,eventual,5.126237869262695,True,
2025-07-31T22:20:36.950026,avaliacoes,eventual,4.977226257324219,True,
2025-07-31T22:20:37.004492,avaliacoes,eventual,4.281282424926758,True,
2025-07-31T22:20:37.061859,avaliacoes,eventual,6.979703903198242,True,
2025-07-31T22:20:37.121424,avaliacoes,eventual,9.030580520629883,True,
2025-07-31T22:20:37.177705,avaliacoes,eventual,5.858421325683594,True,
2025-07-31T22:20:37.235426,avaliacoes,eventual,7.297277450561523,True,
2025-07-31T22:20:37.293330,avaliacoes,eventual,7.3566436767578125,True,
2025-07-31T22:20:37.350166,avaliacoes,eventual,6.447553634643555,True,
2025-07-31T22:20:37.404133,avaliacoes,eventual,3.6554336547851562,True,
2025-07-31T22:20:37.462588,avaliacoes,eventual,7.914543151855469,True,
2025-07-31T22:20:37.519858,avaliacoes,eventual,6.804227828979492,True,
2025-07-31T22:20:37.574384,avaliacoes,eventual,4.2285919189453125,True,
2025-07-31T22:20:37.632707,avaliacoes,eventual,7.891178131103516,True,
2025-07-31T22:20:37.692185,avaliacoes,eventual,9.052753448486328,True,
2025-07-31T22:20:37.749740,avaliacoes,eventual,7.072210311889648,True,
2025-07-31T22:20:37.805225,avaliacoes,eventual,5.277156829833984,True,
2025-07-31T22:20:37.864049,avaliacoes,eventual,8.401870727539062,True,
2025-07-31T22:20:37.924234,avaliacoes,eventual,9.767770767211914,True,
2025-07-31T22:20:37.978768,avaliacoes,eventual,4.302501678466797,True,
2025-07-31T22:20:38.037117,avaliacoes,eventual,7.924079895019531,True,
2025-07-31T22:20:38.094904,avaliacoes,eventual,7.405996322631836,True,
2025-07-31T22:20:38.151968,avaliacoes,eventual,6.625175476074219,True,
2025-07-31T22:20:38.210157,avaliacoes,eventual,7.829904556274414,True,
2025-07-31T22:20:38.268655,avaliacoes,eventual,8.128881454467773,True,
